video sequence,total frames,bitrate(kbps)
PeopleOnStreet_2560x1600_br1,150,64000
PeopleOnStreet_2560x1600_br2,150,31000
PeopleOnStreet_2560x1600_br3,150,16000
PeopleOnStreet_2560x1600_br4,150,8300
?Traffic_2560x1600_br1,150,28000
Traffic_2560x1600_br2,150,9600
Traffic_2560x1600_br3,150,3600
Traffic_2560x1600_br4,150,1600
?BasketballDrive_1920x1080_br1,500,25000
BasketballDrive_1920x1080_br2,500,8100
BasketballDrive_1920x1080_br3,500,3500
BasketballDrive_1920x1080_br4,500,1700
?BQTerrace_1920x1080_br1,600,52000
BQTerrace_1920x1080_br2,600,13000
BQTerrace_1920x1080_br3,600,2600
BQTerrace_1920x1080_br4,600,730
?Cactus_1920x1080_br1,500,32000
Cactus_1920x1080_br2,500,7200
Cactus_1920x1080_br3,500,2900
Cactus_1920x1080_br4,500,1300
?Kimono1_1920x1080_br1,240,11000
Kimono1_1920x1080_br2,240,4800
Kimono1_1920x1080_br3,240,2400
Kimono1_1920x1080_br4,240,1200
?ParkScene_1920x1080_br1,240,19000
ParkScene_1920x1080_br2,240,7200
ParkScene_1920x1080_br3,240,2900
ParkScene_1920x1080_br4,240,1200
?BasketballDrill_832x480_br1,500,3900
BasketballDrill_832x480_br2,500,1900
BasketballDrill_832x480_br3,500,950
BasketballDrill_832x480_br4,500,480
?BQMall_832x480_br1,600,3900
BQMall_832x480_br2,600,1700
BQMall_832x480_br3,600,810
BQMall_832x480_br4,600,390
?PartyScene_832x480_br1,500,9600
PartyScene_832x480_br2,500,4600
PartyScene_832x480_br3,500,1900
PartyScene_832x480_br4,500,740
?RaceHorses_832x480_br1,300,9000
RaceHorses_832x480_br2,300,4300
RaceHorses_832x480_br3,300,1900
RaceHorses_832x480_br4,300,820
?BasketballPass_416x240_br1,500,1600
BasketballPass_416x240_br2,500,870
BasketballPass_416x240_br3,500,460
BasketballPass_416x240_br4,500,230
?BlowingBubbles_416x240_br1,500,2300
BlowingBubbles_416x240_br2,500,1000
BlowingBubbles_416x240_br3,500,410
BlowingBubbles_416x240_br4,500,160
?BQSquare_416x240_br1,600,2400
BQSquare_416x240_br2,600,1100
BQSquare_416x240_br3,600,400
BQSquare_416x240_br4,600,120
?RaceHorses_416x240_br1,300,2200
RaceHorses_416x240_br2,300,1100
RaceHorses_416x240_br3,300,550
RaceHorses_416x240_br4,300,250
?FourPeople_1280x720_br1,600,2200
FourPeople_1280x720_br2,600,730
FourPeople_1280x720_br3,600,330
FourPeople_1280x720_br4,600,170
?Johnny_1280x720_br1,600,1900
Johnny_1280x720_br2,600,400
Johnny_1280x720_br3,600,140
Johnny_1280x720_br4,600,70
?KristenAndSara_1280x720_br1,600,2000
KristenAndSara_1280x720_br2,600,600
KristenAndSara_1280x720_br3,600,250
KristenAndSara_1280x720_br4,600,120
