video sequence,BD-rate_1(piecewise_cubic)(%),BD-rate_1(cubic)(%),Delta_Y-PSNR_1(dB),Delta_U-PSNR_1(dB),Delta_V-PSNR_1(dB),Delta_time_1(%),BD-rate_2(piecewise_cubic)(%),BD-rate_2(cubic)(%),Delta_Y-PSNR_2(dB),Delta_U-PSNR_2(dB),Delta_V-PSNR_2(dB),Delta_time_2(%)
﻿Beauty_3840x2160,-60.4,-55.6,2.689,0.414,0.672,523.516,-65.2,-59.7,2.884,0.659,0.962,1459.901
﻿Chimei-inn_3840x2160,-65.2,-64.9,6.868,3.017,3.15,361.061,-65.7,-65.4,6.716,3.071,3.268,1000.036
﻿Girlhood_3840x2160,-59.3,-59.3,5.202,1.866,1.98,492.815,-59.3,-59.5,5.195,1.668,1.813,1201.759
﻿RaceNight_3840x2160,-58.9,-53.4,2.604,0.79,1.122,434.428,-61.4,-62.1,2.72,1.204,1.385,1407.603
﻿PeopleOnStreet_2560x1600,-55.8,-55.9,3.816,0.051,0.139,542.315,-37.1,-36.7,2.398,0.067,0.08,1931.009
﻿Traffic_2560x1600,-27.9,-27.9,1.136,1.18,1.38,508.249,-33.1,-33.1,1.237,1.262,1.783,1532.903
﻿BasketballDrive_1920x1080,-48.8,-48.3,2.374,0.881,1.235,547.574,-50.2,-50.0,2.561,1.495,1.922,1742.05
﻿BQTerrace_1920x1080,-56.9,-55.6,3.0,1.053,1.101,482.41,-63.2,-62.7,3.444,1.63,1.628,1633.343
﻿Cactus_1920x1080,-42.6,-42.0,1.858,0.515,1.043,484.893,-53.1,-52.6,2.495,1.071,1.994,1663.914
﻿Kimono1_1920x1080,-46.7,-46.6,2.527,0.024,0.488,564.001,-52.8,-53.0,3.261,0.946,1.334,1684.663
﻿ParkScene_1920x1080,-34.9,-34.8,1.735,0.6,0.616,520.777,-42.3,-42.3,2.422,1.393,1.312,1776.807
﻿BasketballDrill_832x480,-42.5,-42.6,2.447,1.608,1.723,612.142,-56.8,-56.8,3.551,3.189,3.153,2206.65
﻿BQMall_832x480,-32.3,-32.2,2.062,0.607,0.655,591.708,-41.4,-41.4,2.809,1.55,1.616,2139.639
﻿PartyScene_832x480,-31.1,-31.1,1.375,0.78,0.869,635.296,-48.0,-48.1,2.76,2.35,2.6,2152.728
﻿RaceHorses_832x480,-26.8,-26.7,1.186,0.555,0.451,619.028,-28.2,-28.1,1.448,1.047,1.008,2057.909
﻿BasketballPass_416x240,-24.3,-24.1,1.76,0.919,0.878,2423.018,-30.5,-30.4,1.797,1.524,1.163,8327.552
﻿BlowingBubbles_416x240,-18.3,-18.2,1.022,0.788,0.863,1737.144,-36.4,-36.4,2.002,2.026,2.233,6671.205
﻿BQSquare_416x240,-37.8,-37.9,1.663,0.631,0.956,3127.786,-54.2,-54.6,2.921,2.053,2.517,11602.55
﻿RaceHorses_416x240,-21.4,-21.1,1.241,0.509,0.418,2068.081,-30.5,-30.5,1.781,1.379,1.311,7088.808
﻿FourPeople_1280x720,-55.1,-55.1,4.573,2.003,2.126,386.173,-60.1,-59.8,5.928,2.8,2.993,1372.09
﻿Johnny_1280x720,-67.7,-71.5,6.56,4.526,4.338,370.739,-70.4,-73.1,7.664,5.009,4.93,1265.966
﻿KristenAndSara_1280x720,-66.2,-65.8,5.886,2.912,2.874,419.665,-71.4,-71.0,7.055,3.968,3.924,1308.791
﻿BasketballDrillText_832x480,-39.8,-39.9,2.53,1.721,1.79,612.154,-55.8,-55.8,3.793,3.244,3.156,2285.978
﻿ChinaSpeed_1024x768,-49.8,-49.8,3.317,1.479,2.449,602.352,-62.3,-62.2,4.762,3.16,4.242,1841.747
﻿SlideEditing_1280x720,0.0,-60.2,8.794,2.671,2.912,372.88,0.0,-76.9,17.531,6.933,7.288,1682.089
﻿SlideShow_1280x720,-33.1,-33.1,5.321,3.422,3.496,472.396,-45.9,-45.9,3.745,2.1,2.451,1053.574
﻿Average,-42.4,-44.4,3.213,1.366,1.528,788.946,-49.1,-51.9,4.034,2.185,2.387,2695.818
